run_id,target_regime,prompt_tokens,action_name,feasible,backend_status,reason,estimated_kv_cache_mb,memory_budget_mb,quality_loss,latency,memory_usage,swap_risk,bandwidth_pressure,total
checkpoint5-under_saturated-3072-20260502224517,under_saturated,3072,full_16,True,real,fp16/bf16 KV path available,96.0,352.0,0.0,1.0,0.272727,0.0,0.010909,1.578182
checkpoint5-under_saturated-3072-20260502224517,under_saturated,3072,full_8,True,real,backend path available,50.976,352.0,0.0,1.02,0.144818,0.0,0.005793,1.327015
checkpoint5-saturation-3072-20260502224517,saturation,3072,full_16,False,real,estimated KV 96.00 MB exceeds budget 49.44 MB,96.0,49.44,0.0,0.0,1.941748,0.0,0.0,inf
checkpoint5-saturation-3072-20260502224517,saturation,3072,full_8,False,real,estimated KV 50.98 MB exceeds budget 49.44 MB,50.976,49.44,0.0,0.0,1.031068,0.0,0.0,inf
checkpoint5-saturation-3072-20260502224517,saturation,3072,dynamic_r969_b8,False,infeasible,RotatingKVCache quantization NYI,49.391,49.44,0.0,0.0,0.0,0.0,0.0,inf
checkpoint5-saturation-3072-20260502224517,saturation,3072,dynamic_r514_b16,True,real,fp16/bf16 KV path available,49.391,49.44,0.420842,0.951449,0.999,1.6085,0.678412,16.54528
checkpoint5-contention-3072-20260502224517,contention,3072,full_16,False,real,estimated KV 96.00 MB exceeds budget 49.44 MB,96.0,49.44,0.0,0.0,1.941748,0.0,0.0,inf
checkpoint5-contention-3072-20260502224517,contention,3072,full_8,False,real,estimated KV 50.98 MB exceeds budget 49.44 MB,50.976,49.44,0.0,0.0,1.031068,0.0,0.0,inf
checkpoint5-contention-3072-20260502224517,contention,3072,dynamic_r969_b8,False,infeasible,RotatingKVCache quantization NYI,49.391,49.44,0.0,0.0,0.0,0.0,0.0,inf
checkpoint5-contention-3072-20260502224517,contention,3072,dynamic_r514_b16,True,real,fp16/bf16 KV path available,49.391,49.44,0.420842,0.951449,0.999,1.851,1.881668,27.880632
checkpoint5-under_saturated-10000-20260502224517,under_saturated,10000,full_16,True,real,fp16/bf16 KV path available,312.5,625.0,0.0,1.0,0.5,0.0,0.02,2.06
checkpoint5-under_saturated-10000-20260502224517,under_saturated,10000,full_8,True,real,backend path available,165.938,625.0,0.0,1.02,0.2655,0.0,0.01062,1.58286
checkpoint5-saturation-10000-20260502224517,saturation,10000,full_16,False,real,estimated KV 312.50 MB exceeds budget 160.94 MB,312.5,160.9375,0.0,0.0,1.941748,0.0,0.0,inf
checkpoint5-saturation-10000-20260502224517,saturation,10000,full_8,False,real,estimated KV 165.94 MB exceeds budget 160.94 MB,165.938,160.9375,0.0,0.0,1.031068,0.0,0.0,inf
checkpoint5-saturation-10000-20260502224517,saturation,10000,dynamic_r969_b8,False,infeasible,RotatingKVCache quantization NYI,160.777,160.9375,0.0,0.0,0.0,0.0,0.0,inf
checkpoint5-saturation-10000-20260502224517,saturation,10000,dynamic_r514_b16,True,real,fp16/bf16 KV path available,160.777,160.9375,0.420842,0.951449,0.999,1.6085,0.678412,16.54528
checkpoint5-contention-10000-20260502224517,contention,10000,full_16,False,real,estimated KV 312.50 MB exceeds budget 160.94 MB,312.5,160.9375,0.0,0.0,1.941748,0.0,0.0,inf
checkpoint5-contention-10000-20260502224517,contention,10000,full_8,False,real,estimated KV 165.94 MB exceeds budget 160.94 MB,165.938,160.9375,0.0,0.0,1.031068,0.0,0.0,inf
checkpoint5-contention-10000-20260502224517,contention,10000,dynamic_r969_b8,False,infeasible,RotatingKVCache quantization NYI,160.777,160.9375,0.0,0.0,0.0,0.0,0.0,inf
checkpoint5-contention-10000-20260502224517,contention,10000,dynamic_r514_b16,True,real,fp16/bf16 KV path available,160.777,160.9375,0.420842,0.951449,0.999,1.851,1.881668,27.880632
