scenario,regime,cases,avg_ideal_score,avg_executable_score,avg_lost_intelligence,max_lost_intelligence,ideal_policy,executable_policy
document_qa,contention,48,1.0,0.666667,0.333333,1.0,ideal_r969_b8,dynamic_r514_b16
document_qa,saturation,48,1.0,0.666667,0.333333,1.0,ideal_r969_b8,dynamic_r514_b16
document_qa,under_saturated,48,1.0,1.0,0.0,0.0,ideal_full_8,full_8
long_context,contention,2,0.985071,0.663326,0.321745,0.321745,ideal_r969_b8,dynamic_r514_b16
long_context,saturation,2,0.985071,0.663326,0.321745,0.321745,ideal_r969_b8,dynamic_r514_b16
long_context,under_saturated,2,1.0,1.0,0.0,0.0,ideal_full_8,full_8
multi_turn,contention,6,1.0,0.716667,0.283333,0.85,ideal_r969_b8,dynamic_r514_b16
multi_turn,saturation,6,1.0,0.716667,0.283333,0.85,ideal_r969_b8,dynamic_r514_b16
multi_turn,under_saturated,6,1.0,1.0,0.0,0.0,ideal_full_8,full_8
needle,contention,8,1.0,0.75,0.25,1.0,ideal_r969_b8,dynamic_r514_b16
needle,saturation,8,1.0,0.75,0.25,1.0,ideal_r969_b8,dynamic_r514_b16
needle,under_saturated,8,1.0,1.0,0.0,0.0,ideal_full_8,full_8
