regime,method,action,execution_status,kv_cache_mb,memory_saved_percent,swap_delta_mb,pageout_delta,latency_ms_per_token,tokens_per_second,score,verdict
under_saturated,Full KV,full_16,real,204.25,0.0,0.0,0.0,50.0,20.0,1.0,valid baseline
under_saturated,Quantized 8-bit,full_8,real,108.457,46.9,0.0,0.0,51.0,19.608,1.0,q8 dominance check
under_saturated,Retention-only,r50_b16,real,102.125,50.0,0.0,0.0,47.5,21.053,0.373437,quality failure mode
under_saturated,Hybrid conservative,r75_b8,theoretical_only,81.343,60.175,0.0,0.0,49.75,20.101,0.688438,theoretical frontier only
under_saturated,Hybrid balanced,r50_b8,theoretical_only,54.229,73.45,0.0,0.0,48.5,20.619,0.373437,theoretical frontier only
under_saturated,Hybrid aggressive,r30_b4,theoretical_only,16.268,92.035,0.0,0.0,51.5,19.417,0.324844,theoretical frontier only
under_saturated,Ideal dynamic q8,ideal_full_8,theoretical_only,108.457,46.9,0.0,0.0,51.0,19.608,1.0,theoretical frontier only
under_saturated,Adaptive Lumina,full_8,real,108.457,46.9,0.0,0.0,51.0,19.608,1.0,valid baseline
saturation,Full KV,full_16,budget_infeasible,204.25,0.0,93.204,48.544,80.898,12.361,0.98,budget violation
saturation,Quantized 8-bit,full_8,budget_infeasible,108.457,46.9,49.491,25.777,56.971,17.553,0.98,budget violation
saturation,Retention-only,r50_b16,real,102.125,50.0,46.602,24.272,52.25,19.139,0.373437,quality failure mode
saturation,Hybrid conservative,r75_b8,theoretical_only,81.343,60.175,37.118,19.333,54.725,18.273,0.688438,theoretical frontier only
saturation,Hybrid balanced,r50_b8,theoretical_only,54.229,73.45,24.746,12.888,53.35,18.744,0.373437,theoretical frontier only
saturation,Hybrid aggressive,r30_b4,theoretical_only,16.268,92.035,7.424,3.867,56.65,17.652,0.324844,theoretical frontier only
saturation,Ideal dynamic q8,ideal_r969_b8,theoretical_only,105.084,48.551,47.952,24.975,55.929,17.88,0.999533,theoretical frontier only
saturation,Adaptive Lumina,dynamic_r514_b16,real,105.084,48.551,47.952,24.975,52.33,19.11,0.681666,adaptive budget fallback
contention,Full KV,full_16,budget_infeasible,204.25,0.0,186.408,155.34,85.311,11.722,0.98,budget violation
contention,Quantized 8-bit,full_8,budget_infeasible,108.457,46.9,98.983,82.485,60.079,16.645,0.98,budget violation
contention,Retention-only,r50_b16,real,102.125,50.0,93.204,77.67,55.1,18.149,0.373437,quality failure mode
contention,Hybrid conservative,r75_b8,theoretical_only,81.343,60.175,74.237,61.864,57.71,17.328,0.688438,theoretical frontier only
contention,Hybrid balanced,r50_b8,theoretical_only,54.229,73.45,49.491,41.243,56.26,17.775,0.373437,theoretical frontier only
contention,Hybrid aggressive,r30_b4,theoretical_only,16.268,92.035,14.847,12.373,59.74,16.739,0.324844,theoretical frontier only
contention,Ideal dynamic q8,ideal_r969_b8,theoretical_only,105.084,48.551,95.904,79.92,58.98,16.955,0.999533,theoretical frontier only
contention,Adaptive Lumina,dynamic_r514_b16,real,105.084,48.551,95.904,79.92,55.184,18.121,0.681666,adaptive budget fallback
